year,locality_id,id,ALAN_median,ALAN_sd
2020,L13058488,975,0.588115502,0.73792495
2020,L10047567,977,3.464974197,3.154864899
2021,L14409825,1007,55.94642977,30.98274563
2021,L5218163,355,5.934377778,6.462215457
2021,L2553610,923,5.218252337,2.997062824
2021,L14438351,1132,1.177040267,1.339659661
2021,L3789536,475,28.18212395,10.0161248
2021,L2557954,95,0.780841069,0.938876161
2021,L14612355,1204,5.817440364,4.25675706
2020,L3007950,581,22.5934639,15.41744011
2021,L13266464,1222,0.111721897,0.00454638
2021,L15192919,1252,3.179026738,2.092855695
2021,L14697280,1280,5.218252337,2.997062824
2021,L5656006,322,3.633827102,3.398709436
2020,L2903184,57,6.465144246,6.43804895
2021,L14750992,1367,0.104397494,0.007260142
2020,L10413204,1385,6.109084357,5.612459779
2020,L10785794,1393,45.0914591,23.63036145
2020,L10116569,1423,14.74001385,3.949216393
2020,L3005361,276,1.844972862,1.824770645
2021,L1357612,10,6.793551243,6.467682138
2020,L6529737,700,0.92863039,0.589452408
2020,L10442808,1436,5.766401219,3.799262827
2020,L2555807,916,0.2142861,0.0458608
2020,L11344447,1437,0.339258051,0.380041542
2020,L6579497,521,16.14373106,13.828883920000001
2020,L11229943,1438,7.319131591,2.943356347
2021,L2540594,542,0.114354488,0.061812726
2020,L11413573,1442,13.12864807,6.307739131
2021,L2561059,1030,0.114625568,0.037003146
2020,L1120626,62,0.375091354,0.246610008
2020,L2556638,579,0.411561354,0.202357916
2021,L15357284,1450,0.090386992,0.009946807
2020,L9227465,1454,3.716032208,2.872282975
2020,L11115184,1456,6.502367086,7.995490696
2020,L3725536,768,1.550412251,1.14283659
2020,L2690945,1463,1.907128441,1.392668438
2020,L7968585,257,3.084377867,2.429538501
2020,L12053953,1473,2.175459006,1.144395781
2020,L11812684,1486,0.267477006,0.146218582
2020,L2996535,1014,2.015089175,2.266361087
2020,L11914392,1495,0.416945513,0.321112604
2020,L11988656,1496,0.339258051,0.380041542
2020,L12090483,1497,1.808907685,2.189399046
2020,L2560095,413,7.636290333,8.543390156
2020,L2557020,37,5.90565003,4.043762312
2020,L12480391,1521,13.41288577,8.115469072
2021,L13121820,1526,0.205611104,0.100926104
2020,L11202532,1533,20.06965463,5.394751608
2021,L13119606,1553,1.097809498,1.222299355
2021,L2556768,149,9.270606586,9.040117077
2020,L12919601,961,3.801166416,3.572157638
2021,L3614229,1566,0.26855013,0.023288795
2021,L13731680,1568,14.38288549,10.88674107
2021,L2540224,1570,0.113443029,0.028508425
2020,L12880008,1571,0.125759147,0.019331159
2021,L2535085,761,0.265539144,0.164770809
2021,L10047567,977,3.464974197,3.154864899
2021,L13273730,1576,0.975705835,0.643600127
2021,L6483605,427,0.163959867,0.024555158
2021,L7914518,232,5.777361487,4.444213581
2021,L2562185,371,4.579028473,4.134871299
2021,L14058792,1582,1.878713782,2.143744155
2021,L13987656,1594,1.439850151,0.954221004
2020,L12318888,1598,20.11586435,17.9874531
2021,L2539737,72,0.411746788,0.244579208
2021,L3905024,1083,0.190624715,0.031977818
2021,L5571435,354,0.576205559,0.557642907
2021,L6579497,521,16.14373106,13.828883920000001
2021,L15646004,1608,1.177040267,1.339659661
2021,L3569350,167,1.012895172,0.853429139
2021,L5289750,358,1.01487542,0.961600225
2021,L15646276,1616,0.979353851,0.653690154
2021,L2555931,712,14.70441496,3.568353548
2021,L15339640,1618,6.993634409,5.582040498
2021,L15737809,1619,9.300899858,4.036050784
2021,L2535737,435,0.14317141,0.025830083
2021,L14187495,1625,5.276205115,5.972915546
2021,L11760879,1626,0.525255796,0.315255401
2020,L9001603,1672,1.53881147,1.375960456
2021,L9053130,1549,19.67392236,5.65767718
2021,L3147944,335,1.35452709,0.995282212
2021,L3725536,768,1.550412251,1.14283659
2021,L2553267,383,1.309952715,1.400821342
2021,L2556477,146,0.312018276,0.052533794
2021,L2534839,118,0.496708521,0.443030377
2021,L14655752,1801,8.680835171,5.654316948
2021,L3007851,512,0.483142655,0.557326783
2021,L13266327,1854,7.637174105,4.416553722
2021,L14257996,1859,0.873657734,0.574012092
2021,L14269792,1914,36.62306377,24.38425106
2020,L10433299,1923,45.0914591,23.63036145
2021,L3057912,99,4.910011076,4.567767861
2021,L14779352,1926,0.339258051,0.380041542
2021,L13546661,1935,0.131434969,0.012615712
2020,L4303572,270,0.469783372,0.328760903
2020,L10982823,1941,0.106766801,0.002815128
2020,L10956586,1942,14.96519263,4.277107872
2020,L6596233,1918,1.101582307,2.517607497
2020,L10571682,1946,0.55622323,0.515903394
2021,L7797010,749,0.793685051,0.385095049
2020,L10857346,1958,0.094675898,0.005680098
2020,L2535737,435,0.14317141,0.025830083
2020,L2999898,1593,0.91782318,0.405918367
2020,L2555910,89,10.08038912,4.219302303
2020,L3614229,1566,0.26855013,0.023288795
2020,L11717908,1977,5.210774065,3.088945917
2021,L15294639,1982,19.70198739,12.76820764
2020,L11731309,1983,0.260753571,0.019596408
2020,L4991258,1127,0.156153504,0.017664615
2021,L8660684,1991,3.269599478,0.612657969
2020,L11979228,1994,27.16807906,16.25495913
2020,L7127585,1997,2.307720088,1.979199026
2020,L11978442,2001,0.995129337,0.938029986
2020,L9687446,2004,2.401916369,2.542890636
2020,L12098870,2005,0.270315049,0.215121114
2020,L5704388,379,0.100731507,0.0076671660000000004
2020,L12030733,2008,0.235010403,0.15391289
2020,L12069370,2027,4.601504424,1.911661122
2020,L12683763,2033,26.29853456,9.685650544
2020,L3569350,167,1.012895172,0.853429139
2020,L12447521,2038,2.562139872,2.550305244
2020,L12300103,2040,0.339258051,0.380041542
2020,L12868880,2044,3.265275318,2.801125159
2020,L11126652,2047,12.44984518,3.120195179
2020,L12741801,2050,0.440871706,0.407103792
2021,L2822695,697,0.287845484,0.159089937
2020,L12229972,2057,3.950111632,4.461243146
2021,L13312300,2059,2.42345589,2.333014571
2021,L12699628,833,0.228451892,0.028618233
2020,L12838751,2072,0.575087848,0.559153569
2020,L2553267,383,1.309952715,1.400821342
2021,L13685293,2073,0.238067542,0.012629627
2021,L12447521,2038,2.562139872,2.550305244
2021,L13245351,2075,13.94163185,4.460458631
2020,L2540594,542,0.114354488,0.061812726
2020,L12717763,2079,1.36433513,1.973381371
2020,L9678638,2084,9.750535535,8.424736967
2021,L6781185,2086,1.254884419,0.986822985
2020,L11979277,2087,19.36189021,16.88387874
2021,L15006251,2089,0.234254472,0.26203686
2021,L15033129,2090,0.146160905,0.006882933
2020,L12430510,2094,0.231862896,0.030371989
2021,L3086561,136,6.146276482,4.845954253
2020,L5571435,354,0.576205559,0.557642907
2021,L2560095,413,7.636290333,8.543390156
2021,L7564404,466,18.26920711,4.926764681
2020,L12069407,2108,10.87321438,9.195773812
2021,L2996535,1014,2.015089175,2.266361087
2021,L15233531,2109,1.012895172,0.853429139
2021,L10235464,666,8.37136041,2.660197824
2021,L15661589,2116,3.692204879,2.640968137
2021,L14171104,2119,1.324261547,0.845695385
2021,L14289266,2121,0.672112528,0.842944137
2021,L10358719,766,0.591547677,0.456387303
2021,L14139489,2144,0.393880223,0.090362269
2020,L3580186,406,3.481090312,3.424624421
2021,L13831188,2186,3.058720918,2.465061664
2020,L11766169,2201,0.339258051,0.380041542
2020,L4832299,657,2.048705385,2.105216054
2021,L4991258,1127,0.156153504,0.017664615
2021,L14307287,2265,23.20217508,15.08341237
2021,L7866165,1292,0.225815481,0.245788614
2021,L12053953,1473,2.175459006,1.144395781
2021,L15355979,2306,0.121032368,0.016357241
2020,L10436574,2384,13.66987465,7.885636288
2020,L10421675,2385,5.514424489,3.295860759
2020,L10582536,2393,3.518733899,2.776017953
2020,L10939592,2427,1.315712197,1.674141531
2020,L11788427,2443,15.23567223,16.58665964
2020,L3100519,1042,0.24438498,0.141912905
2020,L10822078,2457,14.96519263,4.277107872
2020,L8808542,2458,0.51117895,0.304533172
2020,L3007851,512,0.483142655,0.557326783
2020,L2557954,95,0.780841069,0.938876161
2020,L7001116,1784,7.100479733,4.689787956
2020,L11774212,2462,0.775467725,0.506957909
2020,L12373322,2463,2.40274508,1.006838981
2020,L11834397,2466,0.097375469,0.004869767
2020,L12010209,2474,3.272087445,4.025933113
2020,L2808083,722,0.178808586,0.038546592
2020,L11352753,2479,0.100550395,0.006257464
2020,L11401511,2483,13.12864807,6.307739131
2020,L12367021,2492,0.237585943,0.155217723
2021,L14936853,2502,0.479354129,0.385253368
2020,L11221601,2506,0.719229029,0.886668122
2021,L5719285,606,6.423979848,3.435903379
2020,L10200196,2514,0.486063555,0.405582341
2021,L13189208,2515,3.048342979,1.233660846
